1,0,36.566050,-86727.338471,86692.594522,-342.639718,-642.667137,982.326241,-3393.136670,-83115.114579,86632.549335,348.889441,613.599968,-959.395273
2,100,3253.943674,-88364.469429,84833.007758,-315.110426,-666.167875,977.351828,-269.275857,-85057.229296,85106.443495,317.909741,633.400252,-952.236201
3,200,6294.392801,-89609.125135,83290.107932,-285.246480,-687.688861,970.697411,2615.903066,-86376.167590,83446.622737,290.263604,657.778307,-948.889632
4,300,9308.466061,-90818.083148,81606.114605,-249.769735,-711.969104,964.684922,5861.341144,-87824.003363,81899.639770,261.645933,677.189010,-939.812334
5,400,12541.247040,-92051.046214,79709.092923,-221.971497,-739.040189,953.004789,8973.593521,-88956.555753,79976.085201,234.793481,697.310936,-932.043810
6,500,15540.331408,-93313.792556,77599.530234,-191.060414,-753.980122,941.939228,11825.670293,-90086.363783,78084.933262,199.125049,721.156617,-920.428355
7,600,18843.545495,-94443.628133,75677.322082,-159.988391,-777.189017,935.294917,15120.348411,-91387.556418,76363.620423,172.111508,740.648716,-909.997541
8,700,21732.612594,-95277.327891,73591.165174,-128.834398,-792.927617,925.343863,17822.261835,-92453.426474,74482.218381,142.361543,761.821786,-900.452677
9,800,24817.589378,-96358.512706,71511.145066,-96.664920,-811.379974,909.982976,20883.692852,-93352.849140,72379.304852,105.736555,778.579613,-892.378136
10,900,27942.963892,-97063.900078,69266.015907,-60.627666,-833.422107,896.202858,23962.873142,-94194.802595,69992.968737,79.508874,799.463905,-878.431852
11,1000,31158.697150,-97863.529875,66851.591508,-33.096780,-846.542654,883.922371,27054.062560,-94894.648956,68249.313482,54.551014,810.695074,-866.443670
12,1100,33776.139297,-98345.643266,64681.245448,-2.140014,-868.441916,870.944051,30004.916693,-95822.959333,65752.321447,21.838849,829.020589,-849.402825
13,1200,36798.781574,-99028.052074,62015.840282,27.513857,-877.156785,847.659881,32837.902740,-96324.747270,63418.881048,-10.382244,844.792244,-835.528238
14,1300,39792.860198,-99248.086059,59687.666009,59.819511,-895.281241,835.992104,35848.815723,-96642.146080,61132.774489,-40.260397,860.900748,-815.769243
15,1400,42498.067992,-99621.426566,57085.359066,91.266721,-907.045383,815.027015,38444.979764,-97471.989164,58797.500521,-71.446076,872.521932,-803.313080
16,1500,45425.292606,-99758.382022,54490.734967,121.755405,-920.865188,799.626130,41409.420109,-97521.860705,56146.454653,-98.453042,887.519744,-788.544551
17,1600,48256.837038,-99969.958859,51837.395265,154.964430,-932.022849,776.785620,44285.673813,-97866.190791,53573.295416,-135.530347,896.434352,-765.990071
18,1700,50979.896162,-100169.375635,49052.014816,184.166508,-938.000505,762.563318,46863.682261,-98114.392521,51297.667067,-161.832625,910.193087,-747.748732
19,1800,53526.234779,-99988.948352,46296.586442,208.786528,-953.063981,740.319580,49579.743066,-97920.270118,48341.878629,-188.932783,920.879580,-727.452584
20,1900,56387.730743,-99835.347456,43639.303340,244.942732,-963.138175,716.376679,52095.643716,-97955.831470,45838.033857,-219.209665,925.302100,-707.269718
21,2000,58576.580857,-99492.375740,40693.194675,276.741735,-972.592666,697.035748,54738.416725,-97865.740762,42979.028095,-250.779449,938.152125,-689.323910
22,2100,61361.052045,-98989.436858,37879.280350,305.583319,-979.285943,673.969290,57385.734861,-97301.167685,40214.907374,-280.881657,945.172457,-663.056368
23,2200,63700.551966,-98655.085922,34960.161838,332.361308,-984.681891,646.976551,59871.505184,-97052.809916,37206.535036,-307.018270,952.386050,-641.594201
24,2300,66108.230013,-98180.199821,31759.936464,369.164668,-990.126423,619.569666,62087.990445,-96814.139392,34320.624053,-336.764938,956.013429,-618.007722
25,2400,68344.376319,-97298.230998,28920.270783,392.778279,-992.054407,600.591768,64647.022277,-96098.799213,31591.577660,-364.915959,960.934804,-593.795863
26,2500,70793.536361,-96643.852946,25900.929273,427.171341,-993.380903,573.952282,66524.713304,-95241.609126,28545.114422,-392.611926,966.110568,-567.684751
27,2600,72971.933589,-95769.071338,22889.900040,449.094710,-995.192709,546.826096,69300.370107,-94922.601061,25597.051368,-417.517270,968.800898,-546.143462
28,2700,74931.675850,-94820.407463,19719.925491,477.375543,-1000.535637,518.505055,70939.975829,-93872.157300,22579.143724,-448.373508,970.086782,-518.524970
